geoid,2016 median income,2016 median income margin of error,2016 race: total households,2016 race: total households margin of error,2016 race: White,2016 race: Black,2016 race: Asian,2016 race: Other,2016 race: 2 or more races,2017 median income,2017 median income margin of error,2017 race: total households,2017 race: total households margin of error,2017 race: White,2017 race: Black,2017 race: Asian,2017 race: Other,2017 race: 2 or more races,2018 median income,2018 median income margin of error,2018 race: total households,2018 race: total households margin of error,2018 race: White,2018 race: Black,2018 race: Asian,2018 race: Other,2018 race: 2 or more races,2019 median income,2019 median income margin of error,2019 race: total households,2019 race: total households margin of error,2019 race: White,2019 race: Black,2019 race: Asian,2019 race: Other,2019 race: 2 or more races
06037650101,93214,21545,5912,388,1764,85,3222,104,671,97746,25883,5750,402,1550,93,3109,252,690,104679,14505,6022,463,1686,42,3262,259,699,112611,12819,6018,465,1483,79,3137,470,740
06037650102,85667,7021,2372,198,1237,34,845,111,145,90234,11216,2362,176,1205,26,829,128,174,96172,13936,2252,154,1059,34,789,160,210,90987,17045,2211,159,1045,42,751,186,187
06037650200,94879,12410,6356,331,3528,83,1520,627,547,99101,9845,6277,295,3542,80,1713,395,459,97645,15586,6100,320,3347,77,1637,514,424,97054,11406,5930,285,3150,83,1657,513,482
06037650300,59590,9196,6890,509,2792,390,2526,768,277,63785,8144,6971,545,2850,514,2424,677,351,66111,9592,7147,541,2839,508,2294,878,350,71250,17399,6824,609,2990,358,2181,547,377
06037650401,110994,20769,4607,323,2398,0,1553,234,391,125903,19838,4666,307,2479,0,1717,132,338,126786,25523,4728,269,2501,9,1740,144,320,137024,18819,4758,243,2461,48,1605,270,360
06037650501,101714,7534,3106,188,2015,14,766,46,217,105652,9190,3098,225,1943,18,814,29,242,107468,13814,3055,244,1977,0,874,29,166,115174,11417,3044,200,1953,0,870,45,164
06037650502,100515,17972,4280,236,2512,209,1168,207,184,113000,17784,4299,267,2371,222,1124,379,203,118324,5786,4330,296,2309,241,1108,492,180,118558,9893,4259,249,2180,209,1241,433,196
06037650602,66360,13623,7229,585,2657,292,3367,226,659,73165,12785,7665,565,2582,394,3861,226,544,75957,11368,7451,541,2413,375,3981,289,348,80379,19506,7315,540,2158,418,4154,318,233
06037650603,83854,12202,3740,270,2120,35,1304,147,134,79545,14485,3620,214,1986,34,1434,56,110,86726,16181,3694,248,1885,142,1535,83,49,87600,11932,3849,247,1894,223,1525,63,144
06037650604,51995,8007,5941,392,2522,444,1930,420,234,54036,10152,5825,433,2351,137,2322,411,222,58575,10264,5855,379,2486,62,2310,345,256,58413,7693,5567,396,2059,120,2476,348,170
