geoid,2011 median income,2011 median income margin of error,2011 race: total households,2011 race: total households margin of error,2011 race: White,2011 race: Black,2011 race: Asian,2011 race: Other,2011 race: 2 or more races,2012 median income,2012 median income margin of error,2012 race: total households,2012 race: total households margin of error,2012 race: White,2012 race: Black,2012 race: Asian,2012 race: Other,2012 race: 2 or more races,2013 median income,2013 median income margin of error,2013 race: total households,2013 race: total households margin of error,2013 race: White,2013 race: Black,2013 race: Asian,2013 race: Other,2013 race: 2 or more races,2014 median income,2014 median income margin of error,2014 race: total households,2014 race: total households margin of error,2014 race: White,2014 race: Black,2014 race: Asian,2014 race: Other,2014 race: 2 or more races,2015 median income,2015 median income margin of error,2015 race: total households,2015 race: total households margin of error,2015 race: White,2015 race: Black,2015 race: Asian,2015 race: Other,2015 race: 2 or more races,2016 median income,2016 median income margin of error,2016 race: total households,2016 race: total households margin of error,2016 race: White,2016 race: Black,2016 race: Asian,2016 race: Other,2016 race: 2 or more races
42101012000,33194,16224,1811,258,622,1044,40,41,64,43750,7771,1835,202,607,1052,31,72,73,44231,4073,1906,187,597,1138,31,57,83,44961,7328,1916,232,678,1044,59,49,86,50625,5860,1883,207,809,931,86,11,46,53182,10495,1749,192,695,908,102,6,38
42101012100,34912,4536,2927,341,622,2058,82,155,10,34837,3484,3017,340,609,2122,75,175,36,33434,3774,2952,305,684,1938,126,171,33,31108,9809,2869,310,637,1986,149,38,59,32428,3429,2968,321,655,2068,143,44,58,35380,8742,2933,352,588,2063,160,39,83
42101012201,16351,4955,2924,341,1138,1049,464,29,244,14939,4341,2888,365,1257,924,454,30,223,14790,4906,3014,393,1085,1188,538,25,178,16107,5453,3151,359,1067,1131,756,31,166,16605,6329,3157,390,1037,1148,699,137,136,20726,7223,3077,370,1084,1206,537,196,54
42101012203,21686,7286,1326,232,735,352,188,13,38,22036,5884,1275,213,588,409,191,46,41,23958,8485,1272,234,581,399,183,75,34,24278,9396,1070,175,489,370,93,85,33,34706,13569,777,198,349,232,93,69,34,38438,8132,643,163,312,81,116,100,34
42101012204,43187,7810,3667,537,946,2419,234,15,53,41528,8411,3258,361,1038,1890,261,17,52,38504,10926,2944,313,1068,1618,201,22,35,40938,8400,3291,339,943,2092,204,0,52,40880,7765,3405,317,774,2446,109,22,54,44233,9455,3753,339,745,2735,173,69,31
42101012500,52193,7561,4154,419,2811,406,781,82,74,52182,6613,4200,449,2754,367,892,77,110,59924,8912,4905,442,3681,326,743,61,94,62381,12007,5197,519,4384,307,334,68,104,69737,9467,5275,512,4338,355,467,36,79,70192,12757,5191,642,3947,561,605,48,30
42101013100,24514,10250,1446,186,274,1069,42,0,61,29458,4444,1471,236,260,1088,61,11,51,30473,4134,1596,204,292,1145,83,11,65,39868,14102,1500,199,376,936,143,10,35,33889,7820,1492,149,354,951,145,7,35,33164,4996,1710,154,323,1191,90,6,100
42101013200,17344,4821,2722,612,300,2269,139,14,0,18607,6058,2674,489,224,2198,232,20,0,19604,5546,2861,468,314,2409,108,25,5,18750,5331,2836,465,251,2457,106,18,4,17778,4123,2905,334,350,2413,89,28,25,18472,8100,2757,339,671,1833,129,69,55
42101013300,42733,8378,2761,493,1542,952,101,89,77,48647,4473,2927,386,1463,1247,71,81,65,46342,6516,3183,415,1548,1445,87,32,71,47045,8243,3696,680,1550,1717,163,179,87,53227,4521,3546,360,1567,1408,257,220,94,55063,2850,3763,357,1516,1706,247,206,88
42101013401,62371,17598,2254,193,2067,77,71,39,0,68641,15246,2346,212,2143,71,90,42,0,78086,7561,2460,240,2279,63,66,52,0,80060,9255,2390,207,2180,71,81,58,0,78616,11639,2272,203,2072,96,53,51,0,83423,11367,2327,191,2130,97,74,26,0
42101013402,77438,7703,2966,360,2156,475,221,95,19,72083,22050,3010,312,2157,396,272,72,113,71691,19517,2751,268,2075,332,237,63,44,76172,16402,2877,348,2279,305,211,20,62,77734,12716,2763,288,2328,214,122,23,76,76220,18911,2786,309,2384,158,128,38,78
42101013500,48923,8239,3553,363,1704,1653,84,41,71,58295,8919,3345,341,1593,1564,76,48,64,55375,12126,3218,370,1768,1258,83,98,11,57530,12995,3370,348,1709,1138,94,395,34,55375,15056,3658,391,1949,1099,174,388,48,55313,14659,3781,478,1979,1210,155,382,55
42101013601,94583,20825,2250,274,1894,217,96,0,43,98452,20772,2676,451,2054,285,288,0,49,107833,31177,2694,472,2069,286,270,0,69,117000,14838,2761,321,2130,295,273,0,63,107222,18725,2827,353,2196,222,308,12,89,101213,10335,2864,311,2244,145,370,10,95
42101013602,73571,19713,3790,460,3557,31,84,61,57,76186,19904,3661,405,3207,278,68,40,68,71161,16199,3985,455,3160,611,94,16,104,76178,12954,3957,452,3051,642,142,13,109,84196,12246,3826,385,2790,653,207,20,156,78250,9874,3667,397,2639,669,212,20,127
42101013700,20431,9291,4462,622,550,3869,0,0,43,25582,4560,4380,585,949,3373,0,0,58,28339,5114,4362,529,1162,3097,46,0,57,31370,4637,4412,600,1030,3264,39,14,65,35033,4377,4863,620,1231,3395,47,99,91,39696,6549,4805,760,1033,3577,47,88,60
42101013800,23177,5251,1840,217,74,1662,0,9,95,26500,4907,2026,363,224,1674,0,21,107,25019,6962,2004,458,331,1605,0,31,37,26910,5679,2240,405,411,1729,0,23,77,27418,5103,2271,303,332,1774,0,78,87,28534,7424,2118,254,315,1671,0,72,60
42101013900,14985,6491,3333,676,285,2895,7,83,63,15542,5459,3323,609,296,2885,3,78,61,12612,2968,3236,589,291,2746,5,142,52,12865,2864,3337,708,403,2805,26,103,0,14975,2882,3242,492,362,2814,11,43,12,14314,2676,2960,424,466,2421,10,53,10
42101014000,19688,9394,2791,501,793,1914,18,66,0,31684,8111,2460,445,843,1524,3,44,46,23679,4215,2936,399,711,2122,4,49,50,20136,8277,2809,420,805,1887,30,32,55,23026,8135,2940,394,723,1962,163,32,60,24474,11897,3042,359,829,1771,203,185,54
42101014100,14491,5788,1806,372,375,1271,56,20,84,19808,6146,1947,357,378,1417,49,13,90,18068,4933,2098,316,342,1428,60,13,255,18086,6328,2181,376,462,1355,72,12,280,14951,5598,2153,294,488,1237,126,0,302,19167,6152,2510,297,502,1470,178,0,360
42101014200,67242,6989,3182,292,2472,327,118,127,138,68529,9154,3243,270,2618,260,93,133,139,75033,11189,3579,334,2782,349,133,140,175,80154,10852,3615,331,2768,336,134,191,186,83924,4648,3800,388,2974,403,144,141,138,85765,10136,3923,438,3028,349,289,103,154
42101014300,62455,12241,1420,167,1265,71,21,22,41,57024,13361,1466,161,1303,58,26,37,42,55368,16337,1622,187,1376,39,61,49,97,57568,13402,1612,176,1329,31,142,35,75,59787,9362,1454,162,1223,29,127,37,38,64167,10896,1709,182,1430,28,180,19,52
42101014400,28190,15942,2661,465,1566,294,234,385,182,34091,18097,3151,453,1724,386,308,515,218,29670,6766,3054,436,1691,597,50,466,250,42802,11889,3323,529,1750,441,122,680,330,43370,11434,3540,529,1888,496,168,640,348,54393,15220,3774,507,2205,454,174,670,271
42101014500,13807,4174,1719,298,182,1310,11,212,4,14286,7240,1603,242,181,1203,6,212,1,20172,4242,1653,259,179,1091,13,230,140,23664,6378,1615,257,166,1083,25,231,110,18125,7249,1682,166,187,1160,34,151,150,20859,8515,1774,195,223,1254,20,190,87
42101014600,22411,9475,2751,948,633,1899,110,59,50,22526,6177,3289,541,976,2126,130,43,14,22635,6452,3332,420,1082,2011,144,86,9,24833,7266,3615,474,1325,2069,139,22,60,28452,6881,3870,537,1541,1975,216,22,116,28558,6612,4097,673,1669,1929,386,19,94
42101014700,11658,5756,3490,601,1257,2091,106,36,0,8980,2209,3747,613,1578,2001,118,50,0,8979,2318,3584,520,1757,1624,150,53,0,11578,3180,3595,552,1450,1742,366,37,0,11352,4514,3092,449,1193,1544,342,3,10,12460,8129,2952,449,1087,1487,336,2,40
42101014800,17634,11312,578,168,148,401,0,25,4,11450,5127,730,208,87,613,12,14,4,14375,11504,805,235,91,669,9,27,9,11989,5179,1014,152,97,899,8,0,10,21250,13928,1043,179,73,948,10,0,12,25000,9544,1003,247,3,982,10,2,6
42101014900,16528,8038,2660,522,121,2446,52,26,15,21277,10003,3207,510,137,2681,154,0,235,26967,8302,3026,508,124,2432,181,0,289,25685,4258,3230,579,106,2697,111,0,316,22375,10446,3436,471,77,2972,209,31,147,16933,8011,3387,563,121,3013,53,20,180
42101015101,18839,16856,2398,607,88,2198,0,32,80,17146,12337,2323,448,45,2231,0,17,30,21250,17209,2071,436,49,1959,0,20,43,21000,13943,2015,395,84,1858,0,25,48,27375,13847,2092,398,68,1892,0,125,7,30051,3598,2317,355,74,2080,0,152,11
42101015102,12170,5503,4858,547,44,4780,0,34,0,12316,4569,4375,569,25,4275,0,63,12,13485,6452,4072,511,28,3920,8,49,67,12241,3241,3530,508,30,3297,26,50,127,13966,5346,3324,412,36,3052,93,21,122,13750,4444,3507,409,32,3232,110,25,108
42101015200,13265,3267,6444,870,507,5823,0,30,84,15394,3716,6284,982,426,5628,0,183,47,12330,3605,6202,861,413,5517,0,219,53,16195,3977,6098,871,307,5560,0,187,44,16959,3571,5824,833,177,5312,0,263,72,19105,5984,5769,954,107,5340,0,219,103
42101015300,13843,6375,3905,553,1771,1942,110,2,80,10375,5042,4200,682,2035,1997,45,3,120,12931,4551,4421,654,2411,1714,110,5,181,15609,3517,3860,531,2174,1385,161,7,133,16691,2220,4135,549,2201,1531,217,72,114,16075,2353,4074,470,2199,1422,253,70,130
42101015600,16902,15175,1784,362,681,374,0,645,84,16875,11147,1844,311,790,225,0,701,128,19423,8061,1925,320,661,322,0,884,58,20592,7524,1981,311,648,304,7,895,127,19375,6026,1986,263,608,367,36,831,144,23031,3869,2048,324,551,382,48,893,174
42101015700,27043,11459,3191,476,1683,423,170,891,24,26445,12927,2800,433,1491,106,113,1020,70,32820,8317,2749,392,1263,97,116,1149,124,36767,6197,2668,321,1368,96,117,978,109,37664,7930,2599,349,1318,263,11,835,172,38991,3784,2688,391,1485,323,22,638,220
42101015800,47326,8517,5473,598,5210,70,103,50,40,44222,12491,5603,619,5324,97,106,29,47,44630,5208,5542,511,5274,125,61,28,54,52931,8478,5872,550,5631,99,57,33,52,55458,8579,5937,622,5614,110,157,0,56,56989,11597,6183,679,5896,83,115,44,45
42101016000,43886,11233,6682,626,6289,25,236,113,19,42994,8897,7125,743,6456,45,426,130,68,49286,7980,6963,754,6386,62,333,109,73,45265,7792,6435,737,5667,124,299,106,239,45030,8727,6711,814,5940,115,285,87,284,50906,11143,6721,811,6014,112,258,77,260
