"B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"4328","498","3267","369","214","96","250","311","189","102","53","46","135","133","220","137","54","90","166","109","1400000US51013102902","Census Tract 1029.02, Arlington County, Virginia"
"3435","243","3051","236","121","160","0","12","83","43","0","12","82","130","98","67","0","12","98","67","1400000US51013103000","Census Tract 1030, Arlington County, Virginia"
"7019","656","2852","589","2784","449","70","92","463","215","16","27","671","460","163","143","0","17","163","143","1400000US51013103100","Census Tract 1031, Arlington County, Virginia"
"5576","665","3606","549","601","193","56","86","724","336","0","17","172","258","417","333","273","253","144","147","1400000US51013103200","Census Tract 1032, Arlington County, Virginia"
"2498","317","1114","258","1086","257","9","16","201","161","0","12","5","7","83","92","0","12","83","92","1400000US51013103300","Census Tract 1033, Arlington County, Virginia"
"1027","297","759","236","98","66","17","25","55","65","0","12","0","12","98","75","13","24","85","76","1400000US51013103401","Census Tract 1034.01, Arlington County, Virginia"
"5305","456","3381","378","447","188","24","25","1113","330","10","16","55","84","275","125","0","12","275","125","1400000US51013103402","Census Tract 1034.02, Arlington County, Virginia"
"3040","390","2071","252","108","99","0","12","748","382","0","12","87","112","26","31","13","26","13","20","1400000US51013103501","Census Tract 1035.01, Arlington County, Virginia"
"3403","483","2325","450","501","195","16","29","428","190","0","12","58","54","75","56","0","12","75","56","1400000US51013103502","Census Tract 1035.02, Arlington County, Virginia"
"3407","400","2425","435","447","192","0","12","451","204","0","12","32","38","52","48","0","12","52","48","1400000US51013103503","Census Tract 1035.03, Arlington County, Virginia"
