"GEO_ID","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Geographic Area Name"
"1400000US11001009302","1217","291","189","148","939","248","0","132","48","55","0","132","0","132","41","63","0","132","41","63","Census Tract 93.02, District of Columbia, District of Columbia"
"1400000US11001009400","3982","325","357","112","3457","297","78","77","6","11","0","132","38","42","46","46","41","45","5","9","Census Tract 94, District of Columbia, District of Columbia"
"1400000US11001009501","6360","768","2349","561","3377","605","0","132","84","64","0","132","483","311","67","58","0","132","67","58","Census Tract 95.01, District of Columbia, District of Columbia"
"1400000US11001009503","2830","243","383","145","2291","242","0","132","27","45","0","132","73","55","56","43","0","132","56","43","Census Tract 95.03, District of Columbia, District of Columbia"
"1400000US11001009504","2969","403","487","176","2182","319","28","47","18","23","0","132","168","215","86","83","13","20","73","80","Census Tract 95.04, District of Columbia, District of Columbia"
"1400000US11001009505","2677","197","30","42","2354","215","0","132","31","35","0","132","238","155","24","36","0","132","24","36","Census Tract 95.05, District of Columbia, District of Columbia"
"1400000US11001009507","1901","304","129","131","1729","339","0","132","43","71","0","132","0","132","0","132","0","132","0","132","Census Tract 95.07, District of Columbia, District of Columbia"
"1400000US11001009508","3024","398","49","36","2707","405","0","132","0","132","0","132","224","120","44","53","44","53","0","132","Census Tract 95.08, District of Columbia, District of Columbia"
"1400000US11001009509","2754","367","203","190","2442","346","0","132","67","96","0","132","42","94","0","132","0","132","0","132","Census Tract 95.09, District of Columbia, District of Columbia"
"1400000US11001009601","2927","438","0","132","2915","439","0","132","0","132","0","132","0","132","12","15","0","132","12","15","Census Tract 96.01, District of Columbia, District of Columbia"
"1400000US11001009602","3017","356","10","16","2973","341","0","132","8","13","0","132","26","38","0","132","0","132","0","132","Census Tract 96.02, District of Columbia, District of Columbia"
"1400000US11001009603","3273","450","23","36","3232","448","0","132","0","132","0","132","0","132","18","20","0","132","18","20","Census Tract 96.03, District of Columbia, District of Columbia"
"1400000US11001009604","2022","257","11","19","2011","256","0","132","0","132","0","132","0","132","0","132","0","132","0","132","Census Tract 96.04, District of Columbia, District of Columbia"
"1400000US11001009700","2403","505","10","18","2393","504","0","132","0","132","0","132","0","132","0","132","0","132","0","132","Census Tract 97, District of Columbia, District of Columbia"
"1400000US11001009801","1529","410","25","39","1504","418","0","132","0","132","0","132","0","132","0","132","0","132","0","132","Census Tract 98.01, District of Columbia, District of Columbia"
"1400000US11001009802","1169","278","18","27","1151","276","0","132","0","132","0","132","0","132","0","132","0","132","0","132","Census Tract 98.02, District of Columbia, District of Columbia"
"1400000US11001009803","2374","375","33","40","2326","378","0","132","0","132","0","132","0","132","15","24","15","24","0","132","Census Tract 98.03, District of Columbia, District of Columbia"
"1400000US11001009804","2900","659","32","49","2722","708","0","132","0","132","0","132","12","19","134","166","0","132","134","166","Census Tract 98.04, District of Columbia, District of Columbia"
"1400000US11001009807","3232","409","43","43","3189","412","0","132","0","132","0","132","0","132","0","132","0","132","0","132","Census Tract 98.07, District of Columbia, District of Columbia"
"1400000US11001009810","2328","379","28","46","2186","390","0","132","0","132","0","132","0","132","114","126","0","132","114","126","Census Tract 98.10, District of Columbia, District of Columbia"
"1400000US11001009811","3530","508","0","132","3505","508","0","132","0","132","0","132","0","132","25","39","0","132","25","39","Census Tract 98.11, District of Columbia, District of Columbia"
"1400000US11001009901","2017","226","66","55","1832","247","0","132","0","132","0","132","21","27","98","85","25","40","73","82","Census Tract 99.01, District of Columbia, District of Columbia"
"1400000US11001009902","2773","456","145","149","2615","469","0","132","13","22","0","132","0","132","0","132","0","132","0","132","Census Tract 99.02, District of Columbia, District of Columbia"
"1400000US11001009903","1384","260","21","35","1363","263","0","132","0","132","0","132","0","132","0","132","0","132","0","132","Census Tract 99.03, District of Columbia, District of Columbia"
"1400000US11001009904","1618","312","0","132","1580","313","15","25","6","10","0","132","0","132","17","30","17","30","0","132","Census Tract 99.04, District of Columbia, District of Columbia"
"1400000US11001009905","2668","353","21","35","2591","358","0","132","56","55","0","132","0","132","0","132","0","132","0","132","Census Tract 99.05, District of Columbia, District of Columbia"
"1400000US11001009906","1670","253","0","132","1562","298","0","132","0","132","0","132","108","146","0","132","0","132","0","132","Census Tract 99.06, District of Columbia, District of Columbia"
"1400000US11001009907","2587","433","0","132","2504","445","7","14","55","82","0","132","0","132","21","26","0","132","21","26","Census Tract 99.07, District of Columbia, District of Columbia"
"1400000US11001010100","2115","262","1366","202","416","131","0","132","137","100","11","19","94","149","91","89","0","132","91","89","Census Tract 101, District of Columbia, District of Columbia"
"1400000US11001010200","2661","267","1246","183","1136","195","0","132","127","63","0","132","30","57","122","72","21","24","101","72","Census Tract 102, District of Columbia, District of Columbia"
"1400000US11001010300","3163","618","832","484","1905","416","22","40","125","91","1","132","239","189","39","46","0","132","39","46","Census Tract 103, District of Columbia, District of Columbia"
"1400000US11001010400","4594","849","135","90","4297","786","0","132","44","64","0","132","61","97","57","67","14","21","43","65","Census Tract 104, District of Columbia, District of Columbia"
"1400000US11001010500","4230","477","1631","277","2011","404","0","132","287","154","0","132","198","236","103","102","0","132","103","102","Census Tract 105, District of Columbia, District of Columbia"
"1400000US11001010600","3637","443","1337","326","1993","437","0","132","178","130","0","132","64","98","65","50","30","37","35","31","Census Tract 106, District of Columbia, District of Columbia"
"1400000US11001010700","1881","230","1455","244","275","158","0","132","150","84","0","132","0","132","1","2","1","2","0","132","Census Tract 107, District of Columbia, District of Columbia"
"1400000US11001010800","6818","845","5229","700","637","243","16","26","682","205","17","28","78","61","159","103","0","132","159","103","Census Tract 108.00, District of Columbia, District of Columbia"
"1400000US11001010900","3200","579","27","34","3110","529","19","31","0","132","18","30","0","132","26","26","14","19","12","18","Census Tract 109, District of Columbia, District of Columbia"
"1400000US11001011000","4528","779","2085","640","1992","466","22","36","108","83","0","132","53","68","268","215","0","132","268","215","Census Tract 110, District of Columbia, District of Columbia"
"1400000US11001011100","4299","447","268","159","3688","479","0","132","11","20","0","132","172","154","160","190","0","132","160","190","Census Tract 111, District of Columbia, District of Columbia"
"1400000US24031700101","4095","193","3068","351","294","86","9","13","384","183","0","127","33","45","307","266","116","146","191","136","Census Tract 7001.01, Montgomery County, Maryland"
"1400000US24031700103","5799","340","4300","334","604","175","0","127","688","160","37","65","35","52","135","104","33","46","102","94","Census Tract 7001.03, Montgomery County, Maryland"
"1400000US24031700104","4774","404","2786","366","798","442","0","127","484","167","0","127","491","262","215","180","43","73","172","156","Census Tract 7001.04, Montgomery County, Maryland"
"1400000US24031700105","6885","545","3027","327","1724","410","0","127","903","274","0","127","1116","478","115","98","47","76","68","66","Census Tract 7001.05, Montgomery County, Maryland"
"1400000US24031700204","1973","155","1735","191","0","127","0","127","25","34","0","127","162","123","51","79","15","43","36","46","Census Tract 7002.04, Montgomery County, Maryland"
"1400000US24031700205","5792","216","4846","323","161","121","10","15","571","247","0","127","76","77","128","108","0","127","128","108","Census Tract 7002.05, Montgomery County, Maryland"
"1400000US24031700206","5919","363","4874","252","384","187","68","97","249","100","0","127","35","30","309","362","29","19","280","357","Census Tract 7002.06, Montgomery County, Maryland"
"1400000US24031700207","5723","363","4201","350","1100","376","2","5","263","97","0","127","4","9","153","133","3","10","150","132","Census Tract 7002.07, Montgomery County, Maryland"
"1400000US24031700208","1977","238","1723","233","76","76","0","127","34","42","0","127","0","127","144","132","0","127","144","132","Census Tract 7002.08, Montgomery County, Maryland"
"1400000US24031700304","7105","385","3363","444","1042","245","53","91","2259","283","0","127","185","126","203","154","43","68","160","137","Census Tract 7003.04, Montgomery County, Maryland"
"1400000US24031700306","7002","521","3598","399","1400","455","0","127","1444","218","0","127","264","183","296","166","77","108","219","149","Census Tract 7003.06, Montgomery County, Maryland"
"1400000US24031700308","6333","545","4051","544","1157","444","6","10","449","230","0","127","83","87","587","325","0","127","587","325","Census Tract 7003.08, Montgomery County, Maryland"
"1400000US24031700309","5169","388","2450","368","1391","417","16","26","713","240","0","127","544","258","55","58","0","127","55","58","Census Tract 7003.09, Montgomery County, Maryland"
"1400000US24031700310","4781","370","2953","380","913","266","29","52","420","146","0","127","292","233","174","97","15","26","159","98","Census Tract 7003.10, Montgomery County, Maryland"
"1400000US24031700311","5407","405","2811","305","633","234","0","127","1658","264","0","127","105","91","200","146","0","127","200","146","Census Tract 7003.11, Montgomery County, Maryland"
"1400000US24031700312","5136","354","2858","327","757","206","15","25","1116","229","0","127","189","139","201","159","69","60","132","150","Census Tract 7003.12, Montgomery County, Maryland"
"1400000US24031700400","2234","195","2112","217","41","46","0","127","2","3","0","127","0","127","79","70","0","127","79","70","Census Tract 7004, Montgomery County, Maryland"
"1400000US24031700500","6229","467","5576","575","484","307","0","127","87","125","0","127","69","95","13","22","0","127","13","22","Census Tract 7005, Montgomery County, Maryland"
"1400000US24031700604","6502","324","4713","347","418","170","0","127","1015","216","0","127","99","150","257","141","20","32","237","141","Census Tract 7006.04, Montgomery County, Maryland"
"1400000US24031700606","4520","181","2806","222","46","45","0","127","1493","195","0","127","80","118","95","88","23","37","72","78","Census Tract 7006.06, Montgomery County, Maryland"
