Station ID,Station,Latitude,Longitude,Municipality,publiclyExposed,# of Docks
C32022,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,42.326599,-71.066498,Boston,1,15
B32012,Northeastern University - North Parking Lot,42.341814,-71.090179,Boston,1,15
D32031,Oak Square - 615 Washington St,42.35057,-71.166491,Boston,1,15
B32036,One Brigham Circle,42.3339227,-71.10446509,Boston,1,15
M32003,One Broadway / Kendall Sq at Main St / 3rd St,42.36224179,-71.08311072,Cambridge,1,15
M32002,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,Cambridge,1,19
M32053,One Memorial Drive,42.36161932,-71.08043551,Cambridge,1,19
A32035,Orient Heights T Stop - Bennington St at Saratoga St,42.386781,-71.006098,Boston,1,19
B32009,Overland St at Brookline Ave,42.346171,-71.099855,Boston,0,15
S32009,Packard Ave at Powderhouse Blvd,42.40449,-71.123413,Somerville,1,15
A32012,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.123831,Boston,1,27
A32008,Park Dr at Buswell St,42.347241,-71.105301,Boston,1,15
D32042,Park Plaza at Charles St,42.35182807,-71.06781138,Boston,1,19
C32039,Park St at Norwell St,42.2944167,-71.0783056,Boston,1,15
S32034,Perry Park,42.37927325,-71.10341903,Somerville,1,15
A32029,Piers Park,42.36489293,-71.03497177,Boston,1,19
M32029,Porter Square Station,42.387995,-71.119084,Cambridge,1,19
D32012,Post Office Square - Pearl St at Milk St,42.356755,-71.055407,Boston,1,19
S32008,Powder House Circle - Nathan Tufts Park,42.400877,-71.116772,Somerville,1,15
C32007,Prudential Center - Belvedere St,42.34652004,-71.08065777,Boston,1,18
A32026,Purchase St at Pearl St,42.354659,-71.053181,Boston,1,19
M32036,Rindge Avenue - O'Neill Library,42.392766,-71.129042,Cambridge,1,19
C32058,Ring Rd,42.34827839,-71.08044855,Boston,1,15
M32035,Rogers St & Land Blvd,42.36575798,-71.07699394,Cambridge,1,19
C32047,Roslindale Village - South St,42.287072,-71.127754,Boston,1,15
C32046,Roslindale Village - Washington St,42.28630716,-71.12820532,Boston,1,15
D32008,Rowes Wharf at Atlantic Ave,42.357143,-71.050699,Boston,1,15
C32001,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Boston,1,19
B32022,Roxbury YMCA - Warren St at MLK Blvd,42.31787329,-71.08243078,Boston,1,10
B32002,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563,Boston,1,14
C32031,Ryan Playground - Dorchester Ave at Harbor View St,42.317642,-71.056664,Boston,1,15
E32007,S Huntington Ave at Heath St,42.32760387,-71.1108917,Boston,1,15
C32033,Savin Hill T Stop - S Sydney St at Bay St,42.3106,-71.0539,Boston,1,14
C32036,Seaport Blvd at Sleeper St,42.35317809,-71.04817357,Boston,1,15
B32014,Seaport Hotel - Congress St at Seaport Ln,42.34881026,-71.04167744,Boston,1,15
B32007,Seaport Square - Seaport Blvd at Northern Ave,42.35148193,-71.04436085,Boston,1,19
M32047,Sidney Research Campus/ Erie Street at Waverly,42.35775309,-71.10393405,Cambridge,1,19
D32032,Silber Way,42.349496,-71.10057592,Boston,1,19
A32006,Soldiers Field Park - 111 Western Ave,42.36426344,-71.1182757,Boston,1,15
S32001,Somerville City Hall,42.386844,-71.09812,Somerville,1,15
S32020,Somerville Hospital,42.39088802,-71.1096257,Somerville,1,15
C32011,South Bay Plaza,42.325941,-71.065928,Boston,0,15
C32017,South Boston Library - 646 E Broadway,42.335741,-71.03877,Boston,1,15
A32009,South End Library - Tremont St at W Newton St,42.341332,-71.076847,Boston,1,15
A32010,South Station - 700 Atlantic Ave,42.352175,-71.055547,Boston,1,47
D32023,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927,Boston,1,19
K32007,St Mary's,42.34619708,-71.10728681,Brookline,1,15
C32024,State Street at Channel Center,42.344137,-71.052608,Boston,1,19
D32041,Stony Brook T Stop,42.316966,-71.104374,Boston,1,15
D32011,Stuart St at Charles St,42.351146,-71.066289,Boston,1,18
S32012,Summer St at Cutter St,42.394002,-71.120406,Somerville,0,15
A32013,Surface Rd at India St,42.358155,-71.052163,Boston,1,19
C32043,Talbot Ave At Blue Hill Ave,42.2945833,-71.087111,Boston,1,15
K32008,Tappan St at Brookline Hills MBTA,42.33209606,-71.12845883,Brookline,1,15
D32003,TD Garden - Causeway at Portal Park #2,42.366222,-71.059914,Boston,0,27
D32022,TD Garden - West End Park,42.36590788,-71.06446669,Boston,1,35
S32011,Teele Square,42.40203828,-71.12653291,Somerville,1,15
A32033,The Eddy - New St at Sumner St,42.370744,-71.044201,Boston,1,15
C32028,The Lawn on D,42.344792,-71.044024,Boston,1,19
C32049,Thetford Ave at Norfolk St,42.28621295,-71.07942931,Boston,1,15
M32048,Third at Binney,42.36544486,-71.08277142,Cambridge,1,15
C32000,Tremont St at E Berkeley St,42.345392,-71.069616,Boston,1,19
B32056,Tremont St at Hamilton Place,42.35668335,-71.06166646,Boston,1,19
C32056,Tremont St at Northampton St,42.3388956,-71.08149976,Boston,1,19
C32060,Tremont St at W. Dedham St,42.34254914,-71.07421449,Boston,1,19
D32014,Tremont St at West St,42.354979,-71.063348,Boston,1,15
C32035,Troy Boston,42.343749,-71.062256,Boston,1,14
A32001,Union Square - Brighton Ave at Cambridge St,42.353334,-71.137313,Boston,1,19
S32002,Union Square - Somerville,42.37959526,-71.09530799,Somerville,1,19
C32014,University of Massachusetts Boston - Integrated Sciences Complex,42.314507,-71.041269,Boston,1,19
M32040,University Park,42.36264779,-71.10006094,Cambridge,1,19
C32019,Upham's Corner,42.31727474,-71.06537004,Boston,1,15
B32025,Upham's Corner T Stop - Magnolia St at Dudley St,42.31869734,-71.06978148,Boston,1,15
M32057,Vassal Lane at Tobin/VLUS,42.38393225,-71.13961272,Cambridge,1,19
M32050,Verizon Innovation Hub 10 Ware Street,42.37250865,-71.11305356,Cambridge,1,19
C32029,W Broadway at D St,42.3391085,-71.0514432,Boston,1,23
C32016,W Broadway at Dorchester St,42.335693,-71.045859,Boston,1,17
B32030,Walnut Ave at Warren St,42.324081,-71.083235,Boston,1,15
D32021,Warren St at Chelsea St,42.371848,-71.060292,Boston,1,22
