geoid,2020 median income,2020 median income margin of error,2020 race: total households,2020 race: total households margin of error,2020 race: White,2020 race: Black,2020 race: Asian,2020 race: Other,2020 race: 2 or more races
48027023112,44871,5709,4085,845,1332,1793,189,17,647
48027023113,60759,14661,5732,966,2018,2730,177,142,621
48027023114,43799,16013,4421,948,2389,1295,236,0,448
48027023115,64808,25731,6480,1637,3394,2095,211,62,671
48027023116,70974,2387,6219,995,2303,2529,176,246,569
48027023117,48249,3969,5119,1688,1438,3104,409,0,158
48027023118,73271,6246,5656,1001,1364,3294,182,49,581
48027023201,63438,26593,1041,216,790,75,38,9,125
48027023202,33125,7992,4523,799,2825,853,181,139,486
48027023203,43250,6541,1074,301,730,95,87,81,50
48027023204,47063,15419,4603,1359,2891,971,115,43,554
48027023301,90369,15433,5159,676,3695,1040,68,24,292
48027023302,69231,31092,3217,618,1646,1081,20,101,271
48027023402,66607,9363,5559,676,4860,177,34,152,318
48027023404,89034,17563,4814,698,4254,83,53,96,315
48027023405,85938,9215,3402,467,3085,6,83,46,182
48027023406,92601,16828,3619,502,3415,0,1,125,78
48027023500,30313,4625,2097,558,1289,547,16,153,61
48027980001,-,**,86,24,62,9,15,0,0
48027980002,-,**,0,14,0,0,0,0,0
48027980003,-,**,0,14,0,0,0,0,0
48029110100,52659,14024,3153,504,2401,151,14,415,168
48029110300,43875,19091,3114,638,2209,71,91,461,278
48029110500,10518,2062,2430,392,1994,140,61,68,167
48029110600,16712,2398,5645,1041,3675,718,5,290,688
48029110700,18700,8599,1079,207,917,44,0,32,54
48029111000,48683,6892,2882,421,1539,107,81,803,348
48029111100,55179,10341,3712,665,2707,123,51,180,649
48029120100,80781,16543,4946,655,3669,616,187,59,392
48029120301,123212,13430,3836,547,3062,82,0,16,650
48029120302,190865,59075,4665,542,4298,29,0,0,316
48029120401,90382,48636,2547,406,2285,115,50,6,91
48029120402,217361,79506,3796,395,3638,0,2,0,156
48029120502,38462,4541,5677,1334,4051,550,131,357,588
48029120503,32309,19640,4374,665,2855,909,129,135,346
48029120504,43548,21406,6540,1150,4389,564,133,119,1289
48029120601,52688,7107,2383,481,2006,161,46,134,36
48029120602,64205,14187,3499,615,2883,280,0,22,292
48029120701,56332,13489,6597,906,5565,122,84,265,516
48029120702,72371,13526,5235,719,4586,70,156,138,285
48029120800,108103,37050,7031,1098,6380,14,155,83,380
48029120901,47381,21233,2366,393,1922,115,31,1,297
48029120902,50403,9519,7153,1261,4433,1598,61,480,568
48029121000,50146,5259,7668,912,6138,253,69,602,594
48029121110,81473,12155,4777,622,3763,195,145,184,480
48029121111,62262,9517,7511,1308,4664,835,142,759,1111
48029121112,54160,10104,3921,657,2923,237,149,213,399
48029121115,81148,16851,5714,593,5095,231,29,163,179
48029121116,52957,11925,5250,833,3783,358,51,439,600
48029121117,64154,7728,5074,789,3763,198,131,297,674
48029121118,66811,11743,5578,720,4313,690,190,212,72
