"B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"3514","224","2962","247","184","110","19","34","282","149","0","11","43","49","24","25","0","11","24","25","1400000US17031808100","Census Tract 8081, Cook County, Illinois"
"5666","237","3955","249","0","16","93","139","1516","162","0","16","41","46","61","48","0","16","61","48","1400000US17031808200","Census Tract 8082, Cook County, Illinois"
"5679","283","3676","335","70","67","47","55","1591","247","56","93","164","212","75","62","15","24","60","53","1400000US17031808301","Census Tract 8083.01, Cook County, Illinois"
"4044","280","2564","279","144","125","0","11","1192","203","0","11","50","48","94","61","0","11","94","61","1400000US17031808302","Census Tract 8083.02, Cook County, Illinois"
"4332","328","2647","340","35","40","5","10","1081","196","0","11","157","220","407","297","0","11","407","297","1400000US17031808400","Census Tract 8084, Cook County, Illinois"
"4233","302","2484","278","81","66","0","11","1311","374","0","11","75","49","282","172","81","81","201","144","1400000US17031808500","Census Tract 8085, Cook County, Illinois"
"1990","175","1726","203","8","11","0","11","233","236","0","11","0","11","23","25","0","11","23","25","1400000US17031808600","Census Tract 8086, Cook County, Illinois"
"5647","440","3473","322","450","130","9","17","1348","227","0","16","89","51","278","99","68","49","210","86","1400000US17031808702","Census Tract 8087.02, Cook County, Illinois"
"3797","246","3311","271","102","52","0","11","252","70","0","11","59","76","73","57","0","11","73","57","1400000US17031808800","Census Tract 8088, Cook County, Illinois"
"4172","250","3818","245","57","53","0","11","44","27","0","11","0","11","253","146","0","11","253","146","1400000US17031808900","Census Tract 8089, Cook County, Illinois"
"3970","203","3770","209","82","56","0","11","62","62","0","11","21","26","35","38","0","11","35","38","1400000US17031809000","Census Tract 8090, Cook County, Illinois"
"3420","196","3017","252","197","172","0","11","114","86","0","11","0","11","92","102","0","11","92","102","1400000US17031809100","Census Tract 8091, Cook County, Illinois"
"4977","562","1421","373","3113","547","0","11","124","71","0","11","93","116","226","220","58","91","168","200","1400000US17031809200","Census Tract 8092, Cook County, Illinois"
"4739","456","3221","439","308","110","0","11","1108","301","0","11","28","41","74","53","0","11","74","53","1400000US17031809300","Census Tract 8093, Cook County, Illinois"
"5029","386","3451","360","218","118","19","31","1234","289","0","16","26","43","81","78","13","21","68","77","1400000US17031809400","Census Tract 8094, Cook County, Illinois"
