,id,name,lat,lon,first,last,rides
158,3213,Broad & Carpenter,39.938869,-75.166634,2020-09-08,2021-09-30,3927
159,3214,Broad & Cecil B Moore,39.978909,-75.157799,2020-09-21,2021-09-30,1628
160,3226,2nd & Norris,39.98101,-75.137207,2020-12-25,2022-03-31,969
161,3233,Race & Franklin,39.955009,-75.152077,2021-05-14,2022-03-31,2847
162,3234,20th & Cuthbert,39.954849,-75.172981,2021-05-11,2022-03-31,4375
163,3235,16th & Callowhill,39.959999,-75.1651,2021-05-19,2022-03-31,3807
164,3236,24th & Pennsylvania,39.96566,-75.17765,2021-06-01,2022-03-31,3335
165,3237,Broad & Oregon,39.917171,-75.170959,2021-05-21,2022-03-31,1581
166,3238,6th & S Washington Square,39.946281,-75.151382,2021-06-01,2022-03-31,8099
167,3240,44th & Haverford,39.962769,-75.211853,2021-06-25,2022-03-31,553
168,3241,52nd & Larchwood - Malcolm X Park,39.952251,-75.226372,2021-06-15,2022-03-31,1464
169,3243,8th & Diamond,39.983501,-75.14743,2021-07-08,2022-03-31,350
170,3245,Broad & Cecil B Moore,39.97887,-75.157768,2021-07-13,2022-03-31,4063
171,3244,Broad & Carpenter,39.938648,-75.16674,2021-07-15,2022-03-31,7163
172,3247,47th & Aspen - Lucien Blackwell,39.965382,-75.215141,2021-07-23,2022-03-31,581
173,3246,50th & Baltimore,39.947819,-75.223007,2021-07-27,2022-03-31,1337
174,3248,24th & Christian,39.942131,-75.18335,2021-08-02,2022-03-31,2662
175,3249,34th & Arch,39.95784,-75.190788,2021-08-16,2022-03-31,3361
176,3251,29th & Tasker,39.933659,-75.193192,2021-08-18,2022-03-31,636
177,3252,30th & Oakford,39.93882,-75.193237,2021-08-23,2022-03-31,1251
178,3253,27th & Morris - Vare Recreation Center,39.93174,-75.189957,2021-08-31,2022-03-31,990
179,3255,Broad & Chestnut,39.950951,-75.164383,2021-09-02,2022-03-31,3786
180,3256,23rd & Chestnut,39.95269,-75.177788,2021-09-21,2022-03-31,3000
181,3254,16th & Montgomery,39.980911,-75.160652,2021-09-22,2022-03-31,903
182,3250,4th & Wood,39.95673,-75.145752,2021-09-28,2022-03-31,713
183,3257,2nd & Snyder,39.9216,-75.150002,2021-10-19,2022-03-31,459
184,3258,52nd & Chestnut,39.958279,-75.224243,2021-10-23,2022-03-31,340
185,3259,Saunders & Pearl,39.960159,-75.198837,2021-11-05,2022-03-31,582
186,3261,2nd & Brown,39.963039,-75.140991,2021-12-02,2022-03-31,681
187,3266,Water & Mifflin,39.923698,-75.147011,2022-02-15,2022-03-31,147
188,3267,19th & Oregon,39.917999,-75.179604,2022-02-17,2022-03-31,133
189,3263,43rd & Powelton,39.958599,-75.208099,2022-02-23,2022-03-31,101
