"B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"2698","374","1133","213","1358","293","0","10","80","67","0","10","54","74","73","69","0","10","73","69","1400000US42003111300","Census Tract 1113, Allegheny County, Pennsylvania"
"1388","148","257","109","904","164","0","10","15","17","0","10","41","46","171","79","12","16","159","72","1400000US42003111400","Census Tract 1114, Allegheny County, Pennsylvania"
"3000","483","736","158","1918","444","2","5","283","189","0","10","0","10","61","44","0","10","61","44","1400000US42003111500","Census Tract 1115, Allegheny County, Pennsylvania"
"1661","184","38","49","1435","229","0","10","0","10","11","16","0","10","177","113","37","40","140","94","1400000US42003120300","Census Tract 1203, Allegheny County, Pennsylvania"
"694","94","33","30","633","91","12","18","0","10","0","10","0","10","16","21","0","10","16","21","1400000US42003120400","Census Tract 1204, Allegheny County, Pennsylvania"
"863","180","5","5","769","232","0","10","47","42","0","10","0","10","42","40","0","10","42","40","1400000US42003120700","Census Tract 1207, Allegheny County, Pennsylvania"
"758","206","155","56","603","193","0","10","0","10","0","10","0","10","0","10","0","10","0","10","1400000US42003120800","Census Tract 1208, Allegheny County, Pennsylvania"
"1757","274","13","19","1560","275","0","10","56","80","0","10","0","10","128","99","0","10","128","99","1400000US42003130100","Census Tract 1301, Allegheny County, Pennsylvania"
"1518","265","46","53","1451","249","0","10","0","10","0","10","0","10","21","18","0","10","21","18","1400000US42003130200","Census Tract 1302, Allegheny County, Pennsylvania"
"1413","162","67","47","1293","151","0","10","16","16","0","10","3","8","34","46","0","10","34","46","1400000US42003130300","Census Tract 1303, Allegheny County, Pennsylvania"
"1069","195","32","30","933","180","1","3","38","43","0","10","0","10","65","68","0","10","65","68","1400000US42003130400","Census Tract 1304, Allegheny County, Pennsylvania"
"2804","326","175","95","2522","357","0","10","0","10","0","10","0","10","107","84","0","10","107","84","1400000US42003130600","Census Tract 1306, Allegheny County, Pennsylvania"
"5367","485","3642","315","305","146","9","12","1266","271","0","14","22","22","123","65","6","11","117","63","1400000US42003140100","Census Tract 1401, Allegheny County, Pennsylvania"
"2481","215","2037","206","58","42","16","18","248","97","0","10","74","68","48","45","13","20","35","30","1400000US42003140200","Census Tract 1402, Allegheny County, Pennsylvania"
"3629","505","2986","505","254","98","0","10","290","211","0","10","10","17","89","86","0","10","89","86","1400000US42003140300","Census Tract 1403, Allegheny County, Pennsylvania"
"2355","103","2039","130","58","36","9","12","180","106","0","10","0","10","69","43","0","10","69","43","1400000US42003140400","Census Tract 1404, Allegheny County, Pennsylvania"
"1887","241","1093","164","722","237","0","10","29","35","0","10","0","10","43","49","0","10","43","49","1400000US42003140500","Census Tract 1405, Allegheny County, Pennsylvania"
"3204","226","2745","208","296","150","0","10","83","65","0","10","0","10","80","56","12","20","68","51","1400000US42003140600","Census Tract 1406, Allegheny County, Pennsylvania"
"4651","227","3847","219","37","33","0","10","622","186","0","10","55","63","90","72","0","10","90","72","1400000US42003140800","Census Tract 1408, Allegheny County, Pennsylvania"
"1059","94","1037","95","13","19","0","10","9","11","0","10","0","10","0","10","0","10","0","10","1400000US42003141000","Census Tract 1410, Allegheny County, Pennsylvania"
"1321","84","1207","99","51","42","0","10","28","48","0","10","0","10","35","43","0","10","35","43","1400000US42003141100","Census Tract 1411, Allegheny County, Pennsylvania"
"5399","373","3712","441","111","87","5","10","1328","292","0","14","64","77","179","112","4","8","175","113","1400000US42003141300","Census Tract 1413, Allegheny County, Pennsylvania"
"5690","330","4449","356","409","350","11","19","743","196","0","14","13","20","65","55","0","14","65","55","1400000US42003141400","Census Tract 1414, Allegheny County, Pennsylvania"
"2702","178","2495","168","56","45","0","10","74","57","0","10","0","10","77","80","0","10","77","80","1400000US42003151600","Census Tract 1516, Allegheny County, Pennsylvania"
"5257","382","4636","439","300","247","0","14","91","70","0","14","89","127","141","115","0","14","141","115","1400000US42003151700","Census Tract 1517, Allegheny County, Pennsylvania"
"2927","324","2500","323","314","244","0","10","0","10","0","10","0","10","113","79","0","10","113","79","1400000US42003160800","Census Tract 1608, Allegheny County, Pennsylvania"
"3284","434","3020","438","141","80","0","10","114","77","0","10","0","10","9","13","0","10","9","13","1400000US42003160900","Census Tract 1609, Allegheny County, Pennsylvania"
"3506","480","3249","487","97","89","16","25","66","66","0","10","46","42","32","34","0","10","32","34","1400000US42003170200","Census Tract 1702, Allegheny County, Pennsylvania"
"1729","184","1605","162","81","66","2","4","12","18","0","10","5","7","24","33","0","10","24","33","1400000US42003170600","Census Tract 1706, Allegheny County, Pennsylvania"
"2293","310","1148","223","958","271","0","10","25","37","0","10","11","19","151","126","0","10","151","126","1400000US42003180300","Census Tract 1803, Allegheny County, Pennsylvania"
