,id,name,lat,lon,first,last,rides
281,4505,Glen Alla Park,33.98489,-118.431572,2020-02-15,2020-09-30,117
283,4476,Sunset & Silver Lake,34.08252,-118.27272,2020-02-20,2022-03-31,2054
284,4504,Vista Del Mar & Culver,33.95879,-118.44828,2020-02-21,2020-09-30,782
286,4503,Stanford & Washington,33.9897,-118.448883,2020-02-26,2020-09-30,161
287,4496,Concert Park,33.97298,-118.423943,2020-03-03,2020-09-30,323
288,4500,Burbank & Cahuenga,34.1721,-118.361816,2020-03-07,2021-09-30,127
289,4499,Victory & Colfax,34.186569,-118.388008,2020-03-08,2021-09-30,142
290,4497,Riverside & Laurel Canyon,34.15749,-118.39576,2020-04-15,2021-09-30,215
291,4524,Wilshire & Normandie,34.06163,-118.301193,2020-04-17,2022-03-31,1898
292,4498,Vineland & Oxnard,34.17989,-118.370422,2020-04-18,2021-12-31,111
293,4523,Western & 3rd,34.068748,-118.30928,2020-04-23,2022-03-31,1440
294,4502,North Hollywood Plaza,34.16552,-118.375153,2020-05-07,2021-12-31,203
295,4512,Figueroa & 11th,34.043812,-118.264969,2020-05-12,2022-03-31,2360
296,4538,5th & Western,34.06543,-118.308823,2020-07-09,2022-03-31,1263
297,4516,7th & Hill,34.045849,-118.254402,2020-07-16,2022-03-31,2216
299,4518,Normandie & 8th,34.057968,-118.299751,2020-07-21,2022-03-31,1228
302,4509,Western & Hollywood,34.101639,-118.309174,2020-08-06,2022-03-31,1992
303,4510,Mohawk Bend,34.077351,-118.264549,2020-08-13,2022-03-31,1432
304,4540,1st & Utah,34.04776,-118.22541,2020-09-10,2022-03-31,799
305,4513,Edgemont & Melrose,34.08371,-118.296021,2020-09-24,2022-03-31,606
306,4511,Union Station East Portal,34.056278,-118.231773,2020-10-12,2022-03-31,782
307,4543,Toes Beach at Culver Blvd,33.95718,-118.451248,2020-10-21,2022-03-31,7967
308,4558,Bagley & Venice,34.025688,-118.395302,2020-10-21,2022-03-31,3845
309,4544,Dockweiler Beach at Imperial Hwy,33.928459,-118.435204,2020-10-21,2022-03-31,5184
310,4568,Palms E Line Station,34.029121,-118.403168,2020-10-23,2022-03-31,1669
311,4545,Vista Del Mar & Culver,33.95879,-118.44828,2020-10-24,2022-03-31,1951
312,4563,Venice & Glendon,34.017681,-118.409081,2020-10-24,2022-03-31,1832
313,4582,Westlawn & Beatrice,33.980991,-118.414879,2020-11-07,2022-03-31,719
314,4583,McConnell & Runway,33.976189,-118.418419,2020-11-07,2022-03-31,1834
315,4556,McLaughlin & Venice,34.009022,-118.425011,2020-11-14,2022-03-31,644
316,4554,Venice & Colonial,34.00351,-118.43438,2020-11-19,2022-03-31,1224
317,4571,Rose & Overland,34.027649,-118.413559,2020-11-21,2022-03-31,876
318,4564,Expo/Sepulveda E Line Station,34.035351,-118.434143,2020-11-21,2022-03-31,1431
319,4572,National & Motor,34.02948,-118.410469,2020-11-28,2022-03-31,474
320,4546,Expo/Bundy E Line Station,34.031399,-118.453629,2020-11-28,2022-03-31,1692
321,4560,Sepulveda & Charnock,34.017368,-118.420601,2020-11-29,2022-03-31,271
322,4580,Centinela & Lucile,33.982922,-118.410927,2020-11-30,2022-03-31,419
323,4567,Venice & Motor,34.02018,-118.40403,2020-12-01,2022-03-31,1336
